Region Name,Window Size,Lambda,Limit,Amount,Percentage,Regulation Hours
FLA,quarter,0,0.06,212512.8563693464,0.0011527432285371,8760.0
MIDA,quarter,100,0.04,203954.46033859253,0.0003717708719343,1415.0
MIDA,quarter,50,0.1,502997.0128947496,0.0009168695685978,4599.0
MIDA,month,100,0.07,256395.27290415764,0.0004673606745798,1748.0
CAR,year,10,0.06,298530.3265992999,0.0021343396323126,8754.0
CAR,quarter,30,0.04,184860.8926435709,0.0013216611328183,5070.0
FLA,year,30,0.03,148959.6083610952,0.0008080084320421,2517.0
CAR,quarter,0,0.03,211063.20741832256,0.0015089943244546,8760.0
CAR,month,0,0.05,215361.76969200373,0.00153972685313,8760.0
FLA,quarter,30,0.02,120251.51593843102,0.0006522858103155,2297.0
MIDA,year,10,0.1,823772.810988903,0.0015015839109805,8759.0
FLA,year,0,0.03,186607.11504271624,0.0010122215283223,8760.0
MIDA,month,0,0.09,562994.2975325584,0.0010262334078904,8760.0
CAR,month,0,0.03,190258.40986728668,0.0013602506290946,8760.0
MIDA,month,100,0.06,235177.5124965906,0.0004286846619341,1611.0
MIDA,month,100,0.05,212068.74889731407,0.0003865617038072,1466.0
FLA,month,50,0.06,120699.95419096948,0.0006547182944854,1524.0
CAR,quarter,0,0.06,252301.214928627,0.001803825053344,8760.0
FLA,year,30,0.1,212776.27821794152,0.0011541721197458,2868.0
MIDA,month,30,0.03,379878.0095250607,0.0006924466304652,5579.0
FLA,quarter,50,0.09,164240.72692388296,0.000890898503959,1858.0
MIDA,month,100,0.08,270328.7362642288,0.0004927587747922,1827.0
MIDA,year,30,0.07,768821.3131834269,0.0014014175982687,8759.0
MIDA,quarter,50,0.07,456028.681863904,0.0008312550772469,4319.0
FLA,quarter,100,0.1,74309.89558142424,0.0004030825730181,544.0
CAR,year,0,0.02,237953.99765348437,0.0017012497646202,8760.0
CAR,year,50,0.05,204554.6735408604,0.0014624616255454,4540.0
CAR,quarter,100,0.07,75315.28257164359,0.0005384658716005,2892.0
MIDA,quarter,10,0.07,562679.5739250183,0.0010256597255606,8759.0
FLA,month,30,0.07,170629.50718924403,0.0009255534576184,2667.0
MIDA,year,50,0.1,744720.8081645966,0.0013574868808427,5769.0
CAR,quarter,50,0.08,180591.51643180847,0.0012911372696054,4356.0
FLA,month,30,0.05,158358.46086907387,0.0008589910585509,2615.0
CAR,year,100,0.07,105054.18919423224,0.0007510838918508,3054.0
FLA,quarter,0,0.1,229839.59053125975,0.0012467294269207,8760.0
FLA,month,30,0.02,108942.98075404765,0.0005909444045239,2195.0
FLA,year,50,0.02,74546.93362304568,0.0004043683493332,1066.0
FLA,year,0,0.06,214989.5781403482,0.0011661778239741,8760.0
FLA,month,10,0.05,184061.56149986383,0.0009984135655499,3906.0
CAR,month,0,0.1,243497.30269679427,0.001740881569478,8760.0
MIDA,quarter,30,0.02,352992.67328715324,0.0006434396860776,5617.0
FLA,month,0,0.07,197943.46289134023,0.0010737137996235,8760.0
FLA,quarter,100,0.04,33692.63624206185,0.000182760511261,268.0
FLA,quarter,10,0.08,217676.11450073123,0.0011807505263064,3835.0
CAR,quarter,100,0.05,63337.01402720809,0.0004528273585151,2801.0
CAR,year,30,0.02,193188.01744955775,0.001381195829675,5202.0
CAR,year,50,0.03,175100.20210948586,0.0012518771718956,4288.0
CAR,quarter,50,0.09,186846.0574412644,0.0013358540490043,4420.0
CAR,month,50,0.1,158707.05646505952,0.0011346745384287,4220.0
CAR,year,100,0.02,45197.85194864869,0.0003231415977341,2564.0
CAR,year,30,0.08,273248.504512161,0.0019535874940882,5905.0
MIDA,year,100,0.01,91561.64264559746,0.0001668997660829,740.0
CAR,month,50,0.07,143929.0761422217,0.0010290195135344,4083.0
CAR,quarter,10,0.1,277586.1138587892,0.0019845991894273,8754.0
FLA,month,10,0.02,149099.40886873007,0.0008087667583442,4231.0
CAR,year,10,0.07,304970.16220873594,0.0021803811736306,8754.0
CAR,year,10,0.02,237953.99765348437,0.0017012497646202,8754.0
MIDA,month,50,0.07,419785.326993227,0.0007651902134546,4035.0
FLA,year,30,0.06,187198.40545216203,0.0010154288919954,2759.0
FLA,month,100,0.02,2768.7157923281197,1.5018471992127209e-05,23.0
FLA,quarter,30,0.05,176597.2503928542,0.0009579245606431,2732.0
CAR,year,30,0.1,282863.8020680547,0.002022331969344,5990.0
CAR,year,30,0.09,278056.09294471145,0.0019879593002773,5937.0
FLA,year,0,0.1,236000.7227318287,0.0012801495387467,8760.0
FLA,quarter,0,0.03,186050.92533552647,0.0010092045629975,8760.0
FLA,quarter,30,0.07,191547.5915441215,0.0010390203814837,2780.0
CAR,quarter,0,0.04,228864.50993025303,0.0016362645615887,8760.0
FLA,month,10,0.04,177414.011084646,0.0009623549531045,3987.0
MIDA,year,10,0.08,789814.6166733503,0.0014396844678938,8759.0
CAR,year,30,0.06,260060.3079965413,0.0018592986128791,5802.0
MIDA,year,100,0.05,443023.3577203751,0.0008075488014018,2730.0
FLA,year,30,0.07,195068.84067839384,0.0010581208545792,2796.0
CAR,month,50,0.02,78035.26587474346,0.0005579123654598,3384.0
FLA,month,100,0.03,12216.74317407608,6.626784002289863e-05,100.0
MIDA,year,0,0.01,380649.7372920513,0.0006938533459857,8760.0
CAR,quarter,10,0.03,208411.8081389368,0.001490038171398,8185.0
CAR,quarter,0,0.02,185052.4972860217,0.001323031008324,8760.0
MIDA,month,10,0.03,424299.3316489458,0.000773418400492,8759.0
CAR,year,50,0.09,231116.26205134392,0.0016523634412199,4751.0
FLA,year,10,0.04,193679.3348095715,0.001050583694199,4034.0
CAR,year,0,0.06,298530.3265992999,0.0021343396323126,8760.0
CAR,month,30,0.07,185769.26387396452,0.0013281555239911,5146.0
CAR,quarter,10,0.06,252301.214928627,0.001803825053344,8754.0
CAR,month,30,0.04,160604.17717462778,0.001148237984273,4927.0
CAR,month,10,0.01,94465.7925733924,0.000675382254406,6113.0
MIDA,quarter,100,0.03,167061.34409070015,0.0003045216145604,1193.0
FLA,quarter,50,0.06,142856.70635905862,0.0007749041809513,1703.0
FLA,quarter,50,0.04,119003.20920878647,0.0006455145628987,1504.0
FLA,month,50,0.1,143199.81691530347,0.0007767653312699,1719.0
FLA,quarter,10,0.01,95554.8368062973,0.0005183224815866,4023.0
MIDA,year,10,0.03,615402.2057771683,0.0011217632321071,8759.0
CAR,year,10,0.01,156638.67306426167,0.0011198866516588,8754.0
CAR,quarter,10,0.04,228864.50993025303,0.0016362645615887,8754.0
FLA,year,30,0.08,201597.8930830061,0.0010935366928337,2818.0
CAR,month,0,0.09,239531.0911206007,0.0017125251788438,8760.0
FLA,month,100,0.08,43252.78250309825,0.0002346180508683,329.0
MIDA,year,10,0.06,743762.754303813,0.0013557405276686,8759.0
MIDA,quarter,30,0.04,477590.6850612164,0.0008705585801759,7834.0
FLA,month,30,0.09,178868.46941635013,0.0009702444381065,2690.0
CAR,month,10,0.09,238609.16482430696,0.0017059338758608,8536.0
CAR,month,30,0.05,170495.55385285616,0.0012189562844972,5002.0
MIDA,quarter,10,0.02,395952.5314962864,0.000721747480465,8759.0
CAR,year,50,0.04,193248.44647973776,0.0013816278664317,4455.0
MIDA,month,30,0.08,535901.3733115196,0.0009768480693978,7858.0
CAR,month,30,0.09,196470.13608950377,0.0014046613045934,5250.0
