Region Name,Window Size,Lambda,Limit,Amount,Percentage,Regulation Hours
CENT,quarter,10,0.19,5500013.265814453,0.0212388832362769,8760.0
NE,quarter,10,0.01,27621.250590644777,0.0004863824475599,1828.0
MIDW,quarter,10,0.2,2663683.4600590467,0.0034659260648486,8760.0
SE,quarter,10,0.28,327669.8902604878,0.0017113070681348,6801.0
TEN,quarter,10,0.24,304588.1864654869,0.0030903440632903,8285.0
SE,quarter,10,0.26,324323.10339030623,0.0016938279521198,6795.0
CENT,quarter,10,0.2,5560887.078427225,0.0214739539053362,8760.0
MIDW,quarter,10,0.07,2238926.6052541733,0.0029132418302666,8760.0
SE,quarter,10,0.21,313716.34545335174,0.0016384325057665,6745.0
CENT,quarter,10,0.23,5719510.415056556,0.022086494705221,8760.0
TEN,quarter,10,0.2,296001.6335096061,0.0030032251134083,8262.0
SW,quarter,10,0.07,280557.2099939585,0.003387863165822,6463.0
SE,quarter,10,0.04,215737.6717109084,0.0011267236125001,6535.0
SW,quarter,10,0.2,356517.114529565,0.0043051155246585,7792.0
MIDW,quarter,10,0.11,2452421.4680099487,0.003191036628572,8760.0
TEN,quarter,10,0.21,298469.6864861101,0.0030282659167051,8276.0
SE,quarter,10,0.23,318171.97738674283,0.0016617027379339,6747.0
TEN,quarter,10,0.1,255223.36204709116,0.0025894897988914,7705.0
MIDW,quarter,10,0.28,2754699.792537093,0.0035843545056872,8760.0
SE,quarter,10,0.12,281690.60453280807,0.0014711730827051,6694.0
CENT,quarter,10,0.14,5107212.633302748,0.0197220420277464,8760.0
CENT,quarter,10,0.21,5617533.872552365,0.0216927014952031,8760.0
CENT,quarter,10,0.29,5950309.637429535,0.0229777503255431,8760.0
CENT,quarter,10,0.05,3094259.3799203634,0.0119488100294884,8667.0
TEN,quarter,10,0.22,300604.529946357,0.0030499259846479,8276.0
SW,quarter,10,0.05,254072.79297426343,0.0030680511000718,6255.0
SE,quarter,10,0.11,276532.9834036529,0.0014442366025602,6679.0
CENT,quarter,10,0.27,5881759.119592965,0.0227130352469147,8760.0
SW,quarter,10,0.17,346687.4824144989,0.00418641799207,7765.0
SW,quarter,10,0.16,342879.4887440056,0.0041404346381144,7754.0
SE,quarter,10,0.25,322375.37174236774,0.001683655620041,6778.0
TEN,quarter,10,0.3,313983.8975978941,0.0031856727116379,8291.0
NE,quarter,10,0.22,193528.1590697244,0.0034078362734226,5941.0
SE,quarter,10,0.03,196704.3243934214,0.0010273189898514,6485.0
SW,quarter,10,0.09,300622.37476831675,0.0036301596751745,6939.0
MIDW,quarter,10,0.08,2305288.228040099,0.0029995901075932,8760.0
NE,quarter,10,0.15,165664.36568415165,0.0029171828911398,5502.0
SE,quarter,10,0.01,92462.45778641105,0.0004828995957523,4077.0
NE,quarter,10,0.3,219960.06211771816,0.0038732755067389,6398.0
SE,quarter,10,0.3,330857.7137543857,0.0017279559731432,6823.0
NE,quarter,10,0.2,185561.63222782317,0.0032675537467064,5771.0
MIDW,quarter,10,0.21,2677844.489406705,0.0034843520833515,8760.0
SW,quarter,10,0.25,369893.3301845044,0.0044666397582237,7880.0
SW,quarter,10,0.14,332349.8840431571,0.0040132846000974,7351.0
SW,quarter,10,0.15,337029.8038203269,0.0040697968808989,7389.0
TEN,quarter,10,0.07,231891.0026995391,0.0023527602690006,7592.0
SE,quarter,10,0.13,286320.1839428544,0.0014953517826784,6693.0
SW,quarter,10,0.22,362277.5627326816,0.0043746757055799,7825.0
SW,quarter,10,0.23,364830.5050437152,0.0044055037111058,7831.0
SE,quarter,10,0.27,326015.8721411824,0.0017026687007336,6798.0
SW,quarter,10,0.08,290285.1469451636,0.0035053326804253,6522.0
TEN,quarter,10,0.04,188731.08574311435,0.0019148608393275,6282.0
SW,quarter,10,0.02,138241.97802190483,0.0016693383332436,5354.0
NE,quarter,10,0.02,69347.21491392702,0.0012211347205518,3537.0
MIDW,quarter,10,0.04,1930612.877829909,0.0025120708202523,8760.0
NE,quarter,10,0.09,136303.8757957816,0.002400174188489,5035.0
SW,quarter,10,0.28,376292.3423245698,0.0045439109056216,7922.0
NE,quarter,10,0.03,87229.89372459054,0.0015360307119666,4027.0
SE,quarter,10,0.06,240801.72813615203,0.0012576245533298,6601.0
MIDW,quarter,10,0.15,2571605.2966724634,0.0033461159930926,8760.0
CENT,quarter,10,0.1,4608618.082617402,0.0177966664090965,8760.0
MIDW,quarter,10,0.16,2593844.4571886063,0.0033750530973878,8760.0
SE,quarter,10,0.07,249925.32867217064,0.0013052739790116,6622.0
TEN,quarter,10,0.25,306381.55523712933,0.0031085395376488,8286.0
NE,quarter,10,0.23,196774.10674259067,0.0034649941478859,5967.0
SE,quarter,10,0.14,290799.2548339665,0.0015187444284554,6711.0
SW,quarter,10,0.3,379985.4255770445,0.0045885066610457,7940.0
MIDW,quarter,10,0.06,2158699.9052729607,0.0028088526208387,8760.0
NE,quarter,10,0.12,152181.02232918888,0.0026797547732219,5309.0
NE,quarter,10,0.25,205396.27434419096,0.003616821849082,6355.0
TEN,quarter,10,0.11,261093.6692977101,0.0026490497883058,7728.0
SE,quarter,10,0.24,320347.3013153672,0.0016730637061681,6763.0
SE,quarter,10,0.19,308532.3136844933,0.0016113580919398,6731.0
TEN,quarter,10,0.02,137946.93539734185,0.001399606129841,5678.0
TEN,quarter,10,0.01,70163.94495864213,0.0007118816171963,4626.0
NE,quarter,10,0.14,161246.92998456955,0.0028393962905495,5433.0
