Region Name,sun,wind,curtail,Amount,Percentage,Regulation Hours
MIDW,sun0.1,wnd0.3,0.06,29323687.689688325,0.0381553345227131,8760.0
TEN,sun1,wnd0.3,0.02,1027726.2282324733,0.0104272844096855,2698.0
SE,sun0.5,wnd0.5,0.14,3269448.9025209844,0.0170752064260222,7763.0
SW,sun0.1,wnd0.5,0.14,3886874.2103293687,0.0469358743895488,7621.0
NY,sun1,wnd1,0.14,2276184.508323401,0.029584179576922,7534.0
NW,sun0.3,wnd0.3,0.02,14538184.812214226,0.0587466126944398,8760.0
MIDA,sun0.3,wnd1,0.06,21499436.767260198,0.039185670026237,8760.0
MIDW,sun0.5,wnd0.3,0.14,30842802.59885156,0.040131973278075,8760.0
MIDW,sun0.3,wnd0.3,0.02,30734283.71505105,0.0399907709041697,8760.0
SE,sun1,wnd0.5,0.1,6423855.860188603,0.033549588366148,7698.0
SE,sun0.3,wnd0.3,0.14,2077481.3508971331,0.0108499701235359,7736.0
SE,sun0.1,wnd0.1,0.06,786436.9978212416,0.0041072897846803,5345.0
CENT,sun0.3,wnd1,0.18,69315681.56941181,0.2676698393522308,8667.0
MIDA,sun1,wnd0.1,0.14,8031010.892916918,0.0146376180098908,8760.0
CAL,sun0.3,wnd1,0.18,10860806.441336662,0.0888915238442013,8418.0
SW,sun0.3,wnd0.5,0.14,4676765.602406114,0.0564741926251571,7687.0
CAL,sun0.5,wnd1,0.18,13325252.297601208,0.1090620653945138,8449.0
TEN,sun0.3,wnd0.3,0.14,531421.4844165146,0.0053917889873827,6126.0
TEX,sun0.1,wnd0.5,0.18,34007409.83505839,0.1026920767740083,8595.0
SW,sun1,wnd0.3,0.06,6566424.796149507,0.0792927356901462,6530.0
FLA,sun0.1,wnd0.1,0.06,1019122.8007990122,0.0055280745256515,3610.0
SE,sun0.3,wnd0.5,0.1,2078099.698070079,0.010853199538014,6687.0
CAL,sun0.5,wnd0.3,0.1,9918713.493581876,0.0811808553794669,8487.0
MIDW,sun0.3,wnd0.5,0.18,44531391.615282536,0.0579432628605079,8687.0
NE,sun0.1,wnd0.5,0.02,826382.9545882642,0.0145517474664507,1195.0
NY,sun1,wnd0.5,0.06,1230152.472986728,0.01598862110464,6534.0
MIDW,sun0.3,wnd0.5,0.14,46371868.64766085,0.0603380509101862,8760.0
MIDA,sun0.3,wnd0.5,0.18,10935497.548377872,0.0199314430020795,8760.0
MIDA,sun0.5,wnd0.3,0.06,9165678.820281863,0.0167057058148135,8760.0
TEN,sun0.1,wnd0.1,0.02,140091.52166211605,0.001421365048033,2470.0
FLA,sun0.1,wnd1,0.14,1098376.0028282702,0.0059579713024391,4466.0
CAL,sun0.3,wnd0.3,0.14,6957964.232888863,0.0569482613336049,8455.0
FLA,sun1,wnd0.5,0.02,9227032.92973858,0.050050617694202,3441.0
CENT,sun0.3,wnd0.1,0.14,10218106.833388,0.0394583008152062,8645.0
CAR,sun1,wnd0.1,0.18,5439458.261091888,0.0388893533102979,7323.0
SW,sun0.5,wnd0.5,0.14,5468720.946403176,0.0660374340722808,7990.0
FLA,sun0.1,wnd0.3,0.1,1063464.3199244738,0.0057685982604889,4098.0
CAR,sun0.3,wnd0.5,0.14,1938736.2662494185,0.0138609758572771,7163.0
TEN,sun0.5,wnd1,0.14,712841.5177864283,0.0072324720735935,6173.0
CAR,sun0.3,wnd0.3,0.18,1955088.6793113947,0.0139778872735466,7189.0
NW,sun0.1,wnd0.5,0.02,19195854.17258024,0.0775675522757209,8760.0
NE,sun0.1,wnd0.1,0.1,293341.12257774174,0.0051654331851547,4641.0
NE,sun1,wnd0.3,0.02,911485.4374283032,0.0160503139992917,1233.0
CAL,sun0.1,wnd0.5,0.14,5621370.278743058,0.0460087538498177,8434.0
SE,sun1,wnd0.1,0.18,6074018.494055688,0.0317225082005429,7948.0
NE,sun1,wnd0.1,0.1,659042.0226725042,0.0116050470674185,4731.0
MIDA,sun1,wnd0.1,0.06,8325635.670927048,0.0151746120464155,8760.0
CAL,sun0.5,wnd0.3,0.02,9787916.41693358,0.080110331609392,7216.0
SE,sun0.3,wnd0.5,0.18,2063198.9261032343,0.010775377934182,7824.0
CENT,sun0.3,wnd0.3,0.1,25030359.701081246,0.0966573826935223,8639.0
SE,sun1,wnd1,0.02,6631922.205102205,0.0346362472788987,3502.0
CENT,sun0.1,wnd0.5,0.18,36202872.58425087,0.1398012234650229,8653.0
TEX,sun0.1,wnd0.1,0.1,10970416.492411256,0.0331273348410131,8705.0
TEX,sun0.5,wnd0.1,0.14,18609859.272533894,0.0561961380310239,8583.0
CENT,sun1,wnd0.3,0.02,25595041.532271262,0.0988379613391841,8760.0
MIDW,sun0.3,wnd0.3,0.1,30261334.193730712,0.039375379436722,8760.0
TEN,sun0.1,wnd0.1,0.18,398000.64671611786,0.0040381045307028,6345.0
NY,sun0.3,wnd0.1,0.18,504839.7120725513,0.0065615369250171,7841.0
SW,sun0.5,wnd1,0.14,8625482.725241974,0.1041568499091909,8128.0
NE,sun1,wnd0.1,0.14,674623.4920827597,0.0118794205969732,5481.0
NW,sun0.1,wnd0.5,0.18,16919628.927090496,0.0683696692779929,8443.0
SW,sun0.5,wnd0.5,0.02,5845731.244073018,0.0705900146337955,4299.0
FLA,sun1,wnd0.1,0.14,8649014.12561065,0.0469152437981985,5697.0
FLA,sun0.5,wnd1,0.14,4443409.3589077,0.0241025890744089,5035.0
SE,sun0.3,wnd1,0.18,2063198.9261032343,0.010775377934182,7824.0
NE,sun0.1,wnd0.3,0.06,553827.4822571576,0.0097523280423926,3444.0
CAL,sun0.3,wnd1,0.14,11329365.137494266,0.0927264965726883,8402.0
CAR,sun1,wnd0.1,0.02,5752425.663507089,0.0411269106740873,3638.0
NY,sun0.5,wnd0.1,0.18,504839.7120725513,0.0065615369250171,7841.0
MIDW,sun0.1,wnd0.1,0.14,11630355.169092894,0.015133161176408,8760.0
NY,sun1,wnd0.1,0.18,504839.7120725513,0.0065615369250171,7841.0
SE,sun0.5,wnd0.5,0.06,3341682.506064892,0.0174524576778943,5565.0
TEX,sun0.5,wnd0.1,0.02,19230023.07691115,0.0580688448711054,8760.0
NW,sun0.5,wnd0.3,0.02,16859520.601907462,0.068126780599327,8760.0
NY,sun0.1,wnd0.1,0.02,262454.39110292494,0.0034111900018421,2821.0
NE,sun1,wnd0.1,0.02,605247.5824059173,0.0106577827204083,1154.0
CENT,sun1,wnd1,0.18,69654836.96090168,0.2689795237858265,8661.0
SW,sun0.1,wnd0.1,0.06,1288744.829581961,0.0155622132768515,5607.0
NW,sun1,wnd0.3,0.1,21705806.841338247,0.0877098925484227,8607.0
MIDW,sun0.1,wnd0.1,0.06,11139058.11858678,0.0144938963093676,8760.0
CAL,sun1,wnd0.5,0.18,16534001.55465138,0.1353244440340539,8549.0
SE,sun0.3,wnd0.5,0.02,2019738.648731649,0.0105483998624709,2977.0
NW,sun1,wnd0.1,0.1,15338386.534293473,0.0619801071954121,8629.0
CENT,sun0.1,wnd1,0.18,69218779.37852544,0.2672956412879521,8668.0
CAR,sun0.1,wnd0.5,0.02,628115.2956896126,0.0044907041255193,2982.0
MIDA,sun0.3,wnd0.3,0.1,7839711.005577803,0.0142889477473869,8760.0
CAL,sun0.3,wnd0.5,0.18,7885717.545055777,0.0645415653958282,8482.0
TEX,sun0.3,wnd0.1,0.06,15199850.469822764,0.0458989443468682,8760.0
FLA,sun0.5,wnd0.1,0.18,4337623.427530676,0.023528769597542,5368.0
SW,sun1,wnd0.1,0.06,5182887.05971311,0.0625858524990185,6297.0
CAR,sun1,wnd0.1,0.1,5698884.585906118,0.040744119266654,6706.0
MIDW,sun0.1,wnd0.5,0.06,47530717.73347223,0.0618459197361805,8760.0
MIDA,sun0.1,wnd0.1,0.14,3007028.2803034782,0.0054807211568897,8760.0
CAL,sun1,wnd0.5,0.14,17278703.805931255,0.1414195455611858,8486.0
MIDW,sun1,wnd0.3,0.06,35266221.26335335,0.0458876279100614,8760.0
CAR,sun0.5,wnd0.5,0.18,2957274.7546994984,0.0211430067574501,7224.0
SE,sun0.5,wnd1,0.06,3341682.506064892,0.0174524576778943,5565.0
MIDW,sun0.1,wnd1,0.18,83038543.03730726,0.1080479174855395,8650.0
TEN,sun0.5,wnd0.1,0.14,705890.4432936311,0.0071619466469787,6172.0
NE,sun0.5,wnd1,0.14,1724265.1859105453,0.0303625231029412,5880.0
CAR,sun0.1,wnd0.1,0.18,950386.9911698104,0.0067947824410173,7163.0
CENT,sun0.5,wnd0.5,0.18,36396804.51077637,0.1405501121211399,8652.0
SE,sun0.5,wnd0.5,0.02,3336830.920941025,0.0174271195184817,3187.0
CAL,sun0.1,wnd0.1,0.1,3176185.89079009,0.0259958600100081,8587.0
SE,sun0.1,wnd0.5,0.02,702845.047673732,0.0036707177975109,2667.0
CAL,sun1,wnd0.5,0.02,18540307.53840353,0.1517452869205162,7650.0
MIDA,sun0.1,wnd0.5,0.1,10400466.361768126,0.018956275337959,8760.0
FLA,sun0.1,wnd0.1,0.02,959828.0630779266,0.0052064393617202,2386.0
CAR,sun0.5,wnd0.5,0.06,2964220.3325189054,0.0211926640977215,5314.0
TEN,sun0.5,wnd0.1,0.18,735186.4310835898,0.0074591830007438,6459.0
CAL,sun0.3,wnd0.5,0.1,8511183.187652707,0.0696607611372257,8437.0
CENT,sun0.1,wnd0.3,0.1,24923904.96756965,0.096246296475048,8663.0
CAR,sun0.1,wnd0.1,0.02,628115.2956896126,0.0044907041255193,2982.0
NY,sun0.1,wnd1,0.02,2284129.566395268,0.0296874436242291,3618.0
NW,sun0.1,wnd0.5,0.14,17678317.315657258,0.071435414657805,8523.0
SW,sun0.1,wnd0.5,0.18,3745823.26267314,0.0452326163977862,8002.0
CAR,sun0.3,wnd0.5,0.1,1906908.1330051424,0.0136334209318542,6632.0
SE,sun0.3,wnd0.5,0.06,2062760.4520910385,0.0107730879353186,5454.0
CAL,sun0.1,wnd1,0.18,8400572.721025392,0.0687554570067518,8389.0
FLA,sun0.5,wnd0.5,0.02,4631068.623568028,0.0251205178261333,3013.0
CAR,sun0.3,wnd0.1,0.18,1955088.6793113947,0.0139778872735466,7189.0
CENT,sun0.1,wnd0.3,0.02,25064424.857531905,0.0967889288999247,8760.0
NW,sun0.3,wnd1,0.06,38100329.05547524,0.15395768477728,8566.0
MIDW,sun0.3,wnd0.1,0.1,12720037.008436918,0.0165510311095309,8760.0
TEX,sun1,wnd0.5,0.18,50916357.99465299,0.1537519784541044,8596.0
CENT,sun0.1,wnd0.3,0.14,23966299.208349463,0.092548400502164,8674.0
SW,sun0.3,wnd0.3,0.1,3496965.6389597207,0.0422275409733091,6773.0
NY,sun0.5,wnd0.3,0.14,871769.3717669845,0.0113306199693854,7383.0
MIDA,sun0.1,wnd0.1,0.02,2769409.667509198,0.0050476286692191,8760.0
FLA,sun1,wnd1,0.06,9077504.203707663,0.0492395221710947,4467.0
CAL,sun0.1,wnd0.3,0.1,4487518.067395359,0.0367286095598684,8663.0
TEX,sun0.1,wnd1,0.14,66644759.12690538,0.2012469857022178,8625.0
SW,sun0.5,wnd1,0.1,8974271.119599387,0.1083686374228148,7768.0
NY,sun0.3,wnd0.1,0.14,470726.951976791,0.0061181642472543,7340.0
SE,sun1,wnd0.3,0.14,6267841.646287143,0.0327347798197575,7841.0
NW,sun0.5,wnd0.5,0.02,23832339.122011278,0.0963028888466927,8760.0
CAR,sun1,wnd0.5,0.14,5599760.864227861,0.0400354351939493,7274.0
CENT,sun1,wnd0.5,0.14,38273335.42603806,0.1477965348245595,8653.0
CAR,sun1,wnd1,0.1,5698884.585906118,0.040744119266654,6706.0
NY,sun0.1,wnd1,0.06,2317939.4603014886,0.0301268798690242,6736.0
SW,sun0.3,wnd1,0.1,8149348.01644513,0.0984072944372891,7730.0
CENT,sun1,wnd0.3,0.14,24423958.73664826,0.0943157012001321,8641.0
SE,sun0.5,wnd0.5,0.18,3207648.8691735268,0.016752446120538,7869.0
SW,sun0.5,wnd0.3,0.02,4411628.95682092,0.0532725401867576,4010.0
TEX,sun1,wnd1,0.1,88053559.20332417,0.2658950771549381,8625.0
