Region Name,value,Amount,Percentage,Regulation Hours
MIDW,0.1,2112022.104855776,0.0024982877256996,8760.0
SW,0.3,280112.9425059408,0.0026019218633528,7491.0
TEX,0.5,2896333.879383862,0.0058307006727344,8760.0
NY,1,274484.64403381944,0.0017837752103377,8760.0
SE,0.1,235567.24965769053,0.0011184424306365,6587.0
SW,0.5,290832.5980090499,0.0023412956101096,7532.0
CENT,0.1,3364746.7400292754,0.0118121141758808,8710.0
CENT,1,4608618.082617402,0.0088983332045482,8760.0
FLA,0.1,204643.5636947155,0.0010091431486803,3934.0
CAR,1,338582.87273466587,0.0012103474583837,7089.0
CENT,0.5,4139683.820488751,0.0106572180889028,8729.0
NW,0.5,1891208.26370734,0.0050947249526042,8642.0
CAR,0.1,300544.6322724223,0.0019534008099097,7106.0
CAR,0.5,321239.398324579,0.0015311319447615,7094.0
TEN,0.5,238801.6088526249,0.0016152500699071,5956.0
SE,0.5,256953.63343429565,0.0008946535973129,7599.0
SW,0.1,261924.362625286,0.0028753296160125,6318.0
CAL,0.1,1229297.692541033,0.0091466625880335,8668.0
TEX,0.1,2510046.7064455748,0.0068905279583276,8716.0
NY,0.3,237584.21204011145,0.0023753427882811,7527.0
CAL,0.3,1334865.3686587214,0.0084041228279688,8760.0
MIDW,0.3,2200812.830606103,0.0022028069452371,8760.0
MIDA,0.1,532168.1534752846,0.0008817721762287,8760.0
CAR,0.3,311905.7357315421,0.0017153592217553,7100.0
TEX,0.3,2730157.609346211,0.0063417300067599,8760.0
SE,0.3,248653.80370098352,0.0009989486474513,7596.0
NW,0.1,1519670.1065733433,0.005582507052811,8487.0
MIDW,0.5,2273509.603994131,0.0019721603094166,8760.0
NE,1,141996.4724202156,0.0012502053656318,5145.0
TEN,0.3,228919.579591468,0.0017866248346426,5908.0
MIDA,0.5,571598.0364865065,0.0006945438396945,8760.0
CAL,1,1530178.869779855,0.0062619627844223,8760.0
NW,0.3,1724883.966612935,0.0053615354026615,8488.0
FLA,0.3,210522.10172247887,0.0008784189898835,3885.0
TEN,0.1,216763.81775650385,0.0019993456652924,5806.0
NY,0.1,223007.1298853755,0.0026349848950124,7073.0
MIDA,0.3,553313.5388883352,0.0007757613513551,8760.0
FLA,0.5,215406.8530319929,0.0007789608448647,3846.0
NW,1,2179013.4923927784,0.0044025324807403,8760.0
TEN,1,263198.5033996999,0.001335202691028,7486.0
CAL,0.5,1407424.721767455,0.0076794867176556,8760.0
NE,0.5,127609.42551605403,0.0014980464961902,4911.0
NE,0.3,120893.6539119482,0.0016375476659651,4789.0
MIDW,1,2410183.328291416,0.0015680386472054,8760.0
SE,1,277656.06791335344,0.0007250510432205,8760.0
MIDA,1,607425.8764073849,0.0005535584540183,8760.0
CENT,0.3,3822990.342215121,0.0113560628881218,8709.0
FLA,1,226619.91609436276,0.0006146323996403,5033.0
SW,1,316781.0340407491,0.0019126416264276,8760.0
NY,0.5,250998.1910609305,0.0021748604680847,8123.0
TEX,1,3227580.9378014803,0.0048731583949881,8760.0
NE,0.1,113017.48069445787,0.0018092006521025,4612.0
