Region Name,sun,value,Amount,Percentage,Regulation Hours
TEX,SUN,0.3,8612320.186984837,0.0260065982717813,8615.0
FLA,SUN,0.1,1063464.3199244738,0.0057685982604889,4098.0
SW,SUN,0.3,1504973.0218425542,0.0181732726325805,6500.0
SE,SUN,0.1,844943.9460663497,0.0044128514400014,6607.0
FLA,SUN,0.5,4526562.05479008,0.0245536380544594,4609.0
NW,SUN,0.3,4605619.525718033,0.0186106140477725,8678.0
NY,SUN,1,215442.1676724106,0.0028001595448677,7003.0
TEN,SUN,1,1124401.6341899035,0.0114081506420027,5517.0
CAR,SUN,0.5,2989155.443962246,0.0213709374316099,7148.0
CAL,SUN,0.3,5243030.618527561,0.0429121892338375,8678.0
NY,SUN,0.3,215442.1676724106,0.0028001595448677,7003.0
NE,SUN,0.5,312033.2733686492,0.0054945825902869,4609.0
SW,SUN,0.5,2341403.57536526,0.0282735736125795,6635.0
FLA,SUN,0.3,2792420.710686207,0.0151470556674264,4372.0
MIDW,SUN,1,8394801.765966654,0.0109231305769552,8760.0
SE,SUN,0.5,3314822.666988611,0.0173121779823029,6760.0
CAR,SUN,0.1,831508.9928877056,0.0059448653621268,7125.0
NW,SUN,0.1,2460740.741683781,0.0099434822957866,8627.0
MIDA,SUN,0.5,3424864.380781532,0.006242284714839,8760.0
MIDA,SUN,0.3,2262223.048158884,0.0041232115450529,8760.0
NE,SUN,0.1,149647.080484353,0.0026351300111035,4564.0
TEX,SUN,1,23298911.75638491,0.0703556562067531,8628.0
CAL,SUN,0.1,2521290.0429261923,0.0206357893568479,8674.0
CAL,SUN,0.5,7959830.465876967,0.0651481511502033,8329.0
TEX,SUN,0.5,12794384.125134587,0.038635164607567,8615.0
CAR,SUN,1,5698884.585906118,0.040744119266654,6706.0
MIDA,SUN,0.1,1100576.1498504877,0.0020059508680926,8759.0
SE,SUN,0.3,2078099.698070079,0.010853199538014,6687.0
MIDW,SUN,0.5,5224088.185623407,0.006797468122289,8760.0
NY,SUN,0.5,215442.1676724106,0.0028001595448677,7003.0
MIDW,SUN,0.3,3957540.410125852,0.005149464140849,8760.0
NY,SUN,0.1,215442.1676724106,0.0028001595448677,7003.0
SW,SUN,1,4442100.7512144,0.0536405017509049,7725.0
CENT,SUN,0.3,3254527.504528314,0.0125677023522038,8667.0
SE,SUN,1,6423855.860188603,0.033549588366148,7698.0
CENT,SUN,1,3628562.3590203226,0.0140120775231203,8671.0
CAL,SUN,1,14758046.549956871,0.1207889353221795,8432.0
CAR,SUN,0.3,1906908.1330051424,0.0136334209318542,6632.0
NE,SUN,1,515615.2385851294,0.0090794500298991,4679.0
CENT,SUN,0.5,3361578.186388463,0.0129810898882891,8707.0
TEN,SUN,0.5,665755.5618539602,0.0067547391514181,5433.0
TEN,SUN,0.3,482672.3247137219,0.0048971812416716,5411.0
NW,SUN,1,12157040.622461766,0.049124768063088,8565.0
NW,SUN,0.5,6755676.651064217,0.0272986706961867,8532.0
TEX,SUN,0.1,4442397.215227902,0.0134146939769734,8719.0
MIDA,SUN,1,6336173.174701333,0.0115485439893494,8760.0
CENT,SUN,0.1,3147664.710562229,0.0121550403651037,8666.0
SW,SUN,0.1,670446.0755504221,0.0080959586248956,6338.0
TEN,SUN,0.1,299334.2244627476,0.003037037497227,5351.0
NE,SUN,0.3,230868.10063193736,0.0040653480082112,4593.0
MIDW,SUN,0.1,2691873.7024348974,0.0035026065853721,8760.0
FLA,SUN,1,8886376.063334763,0.0482027770378269,5143.0
